Year,Month,Day,Observed,Simulated
1967,1,1,0.351,0.224
1967,1,2,0.3492,0.22
1967,1,3,0.3492,0.217
1967,1,4,0.3492,0.214
1967,1,5,0.3492,0.21
1967,1,6,0.3492,0.207
1967,1,7,0.3474,0.204
1967,1,8,0.3474,0.201
1967,1,9,0.3474,0.198
1967,1,10,0.3474,0.195
1967,1,11,0.3456,0.192
1967,1,12,0.3456,0.189
1967,1,13,0.3456,0.187
1967,1,14,0.3456,0.184
1967,1,15,0.3456,0.181
1967,1,16,0.3456,0.179
1967,1,17,0.3456,0.176
1967,1,18,0.3438,0.174
1967,1,19,0.3438,0.171
1967,1,20,0.3438,0.169
1967,1,21,0.3438,0.166
1967,1,22,0.3438,0.164
1967,1,23,0.3438,0.162
1967,1,24,0.342,0.16
1967,1,25,0.342,0.157
1967,1,26,0.342,0.155
1967,1,27,0.342,0.153
1967,1,28,0.3402,0.151
1967,1,29,0.3384,0.149
1967,1,30,0.3366,0.147
1967,1,31,0.3348,0.145
1967,2,1,0.333,0.143
1967,2,2,0.3312,0.142
1967,2,3,0.3294,0.14
1967,2,4,0.3276,0.138
1967,2,5,0.3258,0.136
1967,2,6,0.324,0.134
1967,2,7,0.3222,0.133
1967,2,8,0.3204,0.131
1967,2,9,0.3186,0.129
1967,2,10,0.3168,0.128
1967,2,11,0.315,0.126
1967,2,12,0.3132,0.125
1967,2,13,0.3114,0.123
1967,2,14,0.3096,0.122
1967,2,15,0.3078,0.12
1967,2,16,0.306,0.119
1967,2,17,0.3024,0.117
1967,2,18,0.3006,0.116
1967,2,19,0.297,0.114
1967,2,20,0.2952,0.113
1967,2,21,0.2916,0.112
1967,2,22,0.288,0.11
1967,2,23,0.2862,0.109
1967,2,24,0.2826,0.108
1967,2,25,0.2808,0.107
1967,2,26,0.2772,0.105
1967,2,27,0.2772,0.104
1967,2,28,0.2772,0.103
1967,3,1,0.2772,0.102
1967,3,2,0.279,0.101
1967,3,3,0.279,0.0994
1967,3,4,0.279,0.0983
1967,3,5,0.279,0.0972
1967,3,6,0.279,0.0961
1967,3,7,0.279,0.095
1967,3,8,0.279,0.094
1967,3,9,0.2808,0.093
1967,3,10,0.2808,0.092
1967,3,11,0.2808,0.091
1967,3,12,0.2808,0.0901
1967,3,13,0.2808,0.0892
1967,3,14,0.2808,0.0883
1967,3,15,0.2826,0.0874
1967,3,16,0.2826,0.0864
1967,3,17,0.2826,0.0855
1967,3,18,0.2808,0.0846
1967,3,19,0.2808,0.0837
1967,3,20,0.2808,0.0828
1967,3,21,0.2808,0.082
1967,3,22,0.2808,0.0811
1967,3,23,0.2808,0.0803
1967,3,24,0.2808,0.0794
1967,3,25,0.2808,0.0787
1967,3,26,0.279,0.0779
1967,3,27,0.279,0.0771
1967,3,28,0.279,0.0763
1967,3,29,0.279,0.0755
1967,3,30,0.279,0.0747
1967,3,31,0.279,0.074
1967,4,1,0.279,0.0732
1967,4,2,0.279,0.0725
1967,4,3,0.279,0.0717
1967,4,4,0.279,0.071
1967,4,5,0.279,0.0704
1967,4,6,0.279,0.0697
1967,4,7,0.279,0.069
1967,4,8,0.279,0.0683
1967,4,9,0.279,0.0677
1967,4,10,0.279,0.067
1967,4,11,0.279,0.0665
1967,4,12,0.279,0.066
1967,4,13,0.279,0.0659
1967,4,14,0.279,0.0656
1967,4,15,0.279,0.0651
1967,4,16,0.279,0.0647
1967,4,17,0.2916,0.0647
1967,4,18,0.3024,0.0954
1967,4,19,0.3132,0.231
1967,4,20,0.3024,0.477
1967,4,21,0.3438,0.679
1967,4,22,0.3672,0.793
1967,4,23,0.3798,0.868
1967,4,24,0.405,0.978
1967,4,25,0.4428,1.12
1967,4,26,0.4716,1.37
1967,4,27,0.5274,1.71
1967,4,28,0.6264,2
1967,4,29,0.8064,2.22
1967,4,30,1.0656,2.44
1967,5,1,1.3824,2.8
